code,name,industry,today_pct,stage,reason,metrics,optimization
300706,阿石创,元器件,8.94%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：前日涨幅不足、前日量比不足,"MA50/200=37.92/37.95, bias200=12.0%, RPS50/120=66.2/69.9, 20日涨跌=31.2%, 低位距=114.6%, SOS量比=1.60",L2旁路候选：可测试爆发前夜/试盘观察池
300745,欣锐科技,汽车配件,17.32%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=26.70/24.78, bias200=35.8%, RPS50/120=92.7/76.4, 20日涨跌=22.6%, 低位距=112.6%, SOS量比=2.69",事件驱动：不建议硬放宽
300769,德方纳米,化工原料,11.40%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=45.64/42.63, bias200=68.8%, RPS50/120=98.6/91.5, 20日涨跌=64.0%, 低位距=167.0%, SOS量比=4.44",事件驱动：不建议硬放宽
300798,锦鸡股份,染料涂料,11.29%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=10.03/8.67, bias200=17.5%, RPS50/120=72.7/84.8, 20日涨跌=2.4%, 低位距=57.0%, SOS量比=0.54",趋势轨：RPS阈值敏感
300846,首都在线,软件服务,10.09%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=30.88/24.19, bias200=10.6%, RPS50/120=59.8/77.9, 20日涨跌=-9.6%, 低位距=50.7%, SOS量比=0.36",趋势轨：RPS阈值敏感
300853,申昊科技,专用机械,10.31%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：MA50未站上MA200、RS未跑赢大盘、距MA200过高,"MA50/200=22.18/22.80, bias200=31.0%, RPS50/120=94.4/84.1, 20日涨跌=58.3%, 低位距=69.1%, SOS量比=2.03",事件驱动：不建议硬放宽
300857,协创数据,IT设备,8.36%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=245.06/166.93, bias200=55.6%, RPS50/120=88.9/92.1, 20日涨跌=17.9%, 低位距=264.3%, SOS量比=1.82",事件驱动：不建议硬放宽
300872,天阳科技,软件服务,10.66%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、20日回调不足、长期RPS不足,"MA50/200=17.00/20.95, bias200=-21.2%, RPS50/120=43.8/4.9, 20日涨跌=1.5%, 低位距=14.4%, SOS量比=1.31",事件驱动：不建议硬放宽
300895,铜牛信息,软件服务,14.85%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=62.38/51.48, bias200=18.5%, RPS50/120=81.9/82.5, 20日涨跌=-12.6%, 低位距=50.0%, SOS量比=0.79",事件驱动：不建议硬放宽
300936,中英科技,元器件,8.32%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=60.30/44.86, bias200=62.6%, RPS50/120=98.3/95.5, 20日涨跌=15.4%, 低位距=111.5%, SOS量比=0.65",事件驱动：不建议硬放宽
300975,商络电子,元器件,11.88%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=18.00/14.28, bias200=43.3%, RPS50/120=94.8/89.8, 20日涨跌=14.2%, 低位距=98.3%, SOS量比=0.94",事件驱动：不建议硬放宽
300983,尤安设计,建筑工程,12.85%,L1淘汰,成交额不足：2760.2万 < 5000.0万,市值=55.3亿,L1流动性/市值
301070,开勒股份,机械基件,9.30%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=75.26/60.06, bias200=51.0%, RPS50/120=96.5/88.1, 20日涨跌=35.4%, 低位距=115.5%, SOS量比=0.99",事件驱动：不建议硬放宽
301085,亚康股份,软件服务,11.61%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=64.27/58.97, bias200=18.8%, RPS50/120=36.9/85.5, 20日涨跌=16.9%, 低位距=40.3%, SOS量比=0.61",趋势轨：RPS阈值敏感
301115,联检科技,建筑工程,9.16%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=20.81/17.59, bias200=19.8%, RPS50/120=85.7/80.7, 20日涨跌=2.2%, 低位距=57.2%, SOS量比=1.25",事件驱动：不建议硬放宽
301150,中一科技,电气设备,9.75%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=53.71/41.84, bias200=63.8%, RPS50/120=97.0/90.9, 20日涨跌=21.5%, 低位距=320.1%, SOS量比=1.42",事件驱动：不建议硬放宽
301165,锐捷网络,通信设备,9.36%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=88.26/80.45, bias200=15.5%, RPS50/120=88.7/80.5, 20日涨跌=13.9%, 低位距=91.6%, SOS量比=1.21",事件驱动：不建议硬放宽
301176,逸豪新材,元器件,13.49%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：MA50未站上MA200、距MA200过高,"MA50/200=28.42/28.42, bias200=31.4%, RPS50/120=96.7/86.0, 20日涨跌=39.1%, 低位距=140.2%, SOS量比=1.63",事件驱动：不建议硬放宽
301186,超达装备,专用机械,9.64%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=57.27/49.09, bias200=35.4%, RPS50/120=93.7/87.3, 20日涨跌=14.4%, 低位距=80.6%, SOS量比=0.99",事件驱动：不建议硬放宽
301205,联特科技,通信设备,11.19%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=228.73/152.52, bias200=54.3%, RPS50/120=90.5/96.7, 20日涨跌=5.7%, 低位距=289.4%, SOS量比=0.68",事件驱动：不建议硬放宽
301217,铜冠铜箔,元器件,13.03%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=44.24/33.86, bias200=131.3%, RPS50/120=99.8/97.6, 20日涨跌=103.0%, 低位距=686.5%, SOS量比=2.03",事件驱动：不建议硬放宽
301235,华康洁净,医疗保健,12.63%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足、距MA200过高,"MA50/200=49.83/38.24, bias200=32.3%, RPS50/120=72.6/93.1, 20日涨跌=9.5%, 低位距=155.4%, SOS量比=0.53",趋势轨：RPS阈值敏感
301246,宏源药业,化学制药,8.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=22.50/19.07, bias200=57.2%, RPS50/120=95.4/91.2, 20日涨跌=28.2%, 低位距=134.9%, SOS量比=3.71",事件驱动：不建议硬放宽
301286,侨源股份,化工原料,12.86%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RPS50不足、距MA200过高,"MA50/200=49.76/38.57, bias200=31.4%, RPS50/120=46.4/95.5, 20日涨跌=11.1%, 低位距=110.5%, SOS量比=2.16",趋势轨：RPS阈值敏感
301292,海科新源,化工原料,8.11%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=75.13/48.21, bias200=76.0%, RPS50/120=97.3/98.0, 20日涨跌=-6.8%, 低位距=527.0%, SOS量比=1.23",事件驱动：不建议硬放宽
301308,江波龙,半导体,20.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=331.64/230.46, bias200=74.1%, RPS50/120=95.2/90.8, 20日涨跌=34.1%, 低位距=467.0%, SOS量比=1.19",事件驱动：不建议硬放宽
301316,慧博云通,软件服务,12.66%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：前日量比不足,"MA50/200=44.97/48.23, bias200=5.6%, RPS50/120=86.2/30.6, 20日涨跌=24.6%, 低位距=165.4%, SOS量比=2.29",L2旁路候选：可测试爆发前夜/试盘观察池
301319,唯特偶,元器件,10.78%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=51.21/42.98, bias200=64.7%, RPS50/120=97.1/94.3, 20日涨跌=70.0%, 低位距=198.6%, SOS量比=1.14",事件驱动：不建议硬放宽
301338,凯格精机,专用机械,12.41%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=170.79/96.69, bias200=100.6%, RPS50/120=96.6/98.9, 20日涨跌=7.6%, 低位距=518.0%, SOS量比=1.02",事件驱动：不建议硬放宽
301363,美好医疗,医疗保健,13.12%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：20日回调不足,"MA50/200=27.55/25.00, bias200=7.0%, RPS50/120=19.6/71.0, 20日涨跌=0.8%, 低位距=60.8%, SOS量比=0.70",事件驱动：不建议硬放宽
301468,博盈特焊,专用机械,11.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=56.96/43.55, bias200=23.9%, RPS50/120=3.7/89.5, 20日涨跌=12.0%, 低位距=160.8%, SOS量比=0.92",趋势轨：RPS阈值敏感
301502,华阳智能,电气设备,8.51%,L1淘汰,市值不足：28.30亿 < 35.00亿,20日均额=6826.0万,L1流动性/市值
301511,德福科技,电气设备,20.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=43.41/35.75, bias200=110.4%, RPS50/120=99.8/97.4, 20日涨跌=90.1%, 低位距=455.0%, SOS量比=1.56",事件驱动：不建议硬放宽
301526,国际复材,玻璃,17.97%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=13.04/8.13, bias200=97.8%, RPS50/120=97.9/98.5, 20日涨跌=35.9%, 低位距=384.3%, SOS量比=1.19",事件驱动：不建议硬放宽
301599,C理奇,专用机械,12.47%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：前日量比不足、未突破近20日高点,"MA50/200=-/-, bias200=-, RPS50/120=-/-, 20日涨跌=-, 低位距=-, SOS量比=-",L2旁路候选：可测试爆发前夜/试盘观察池
301600,慧翰股份,通信设备,8.37%,L2淘汰,六通道均未通过；最接近吸筹通道，但仍差：60日振幅未收敛、MA50/MA200未胶着,"MA50/200=110.40/121.05, bias200=-10.0%, RPS50/120=25.8/33.4, 20日涨跌=6.3%, 低位距=18.5%, SOS量比=0.96",左侧轨：吸筹阈值敏感
301666,大普微-UW,IT设备,19.18%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：前日量比不足,"MA50/200=-/-, bias200=-, RPS50/120=-/-, 20日涨跌=-, 低位距=48.2%, SOS量比=0.79",L2旁路候选：可测试爆发前夜/试盘观察池
600081,东风科技,汽车配件,8.68%,L1淘汰,成交额不足：2598.0万 < 5000.0万,市值=62.4亿,L1流动性/市值
600113,浙江东日,区域地产,10.00%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、长期RPS不足,"MA50/200=51.59/51.56, bias200=-13.3%, RPS50/120=4.8/36.7, 20日涨跌=-8.2%, 低位距=223.8%, SOS量比=1.06",事件驱动：不建议硬放宽
600130,波导股份,元器件,9.96%,L1淘汰,市值不足：34.65亿 < 35.00亿,20日均额=8957.4万,L1流动性/市值
600301,华锡有色,小金属,9.99%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足、距MA200过高,"MA50/200=54.26/39.13, bias200=29.1%, RPS50/120=68.4/91.8, 20日涨跌=2.0%, 低位距=173.1%, SOS量比=1.01",趋势轨：RPS阈值敏感
600379,宝光股份,电气设备,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=12.58/12.56, bias200=33.6%, RPS50/120=93.0/82.2, 20日涨跌=42.0%, 低位距=80.4%, SOS量比=4.69",事件驱动：不建议硬放宽
600396,华电辽能,火力发电,9.98%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=6.31/4.00, bias200=148.0%, RPS50/120=99.9/99.4, 20日涨跌=31.9%, 低位距=271.5%, SOS量比=1.51",事件驱动：不建议硬放宽
600487,亨通光电,通信设备,9.28%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=52.16/29.36, bias200=123.8%, RPS50/120=97.5/99.3, 20日涨跌=26.4%, 低位距=346.6%, SOS量比=0.97",事件驱动：不建议硬放宽
600527,江南高纤,化纤,10.17%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=2.51/2.30, bias200=28.3%, RPS50/120=92.4/83.4, 20日涨跌=16.1%, 低位距=49.7%, SOS量比=1.88",事件驱动：不建议硬放宽
600589,大位科技,软件服务,10.03%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近,"MA50/200=11.14/8.88, bias200=13.4%, RPS50/120=29.5/87.8, 20日涨跌=-8.1%, 低位距=58.3%, SOS量比=0.77",事件驱动：不建议硬放宽
600666,奥瑞德,元器件,9.92%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=5.20/3.98, bias200=31.6%, RPS50/120=94.3/89.4, 20日涨跌=-16.4%, 低位距=115.6%, SOS量比=0.87",事件驱动：不建议硬放宽
600673,东阳光,综合类,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=32.60/23.62, bias200=49.9%, RPS50/120=92.3/94.1, 20日涨跌=12.7%, 低位距=289.0%, SOS量比=1.35",事件驱动：不建议硬放宽
600719,大连热电,供气供热,10.06%,L1淘汰,市值不足：31.36亿 < 35.00亿,20日均额=15522.2万,L1流动性/市值
600770,综艺股份,综合类,9.97%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=6.07/5.76, bias200=32.3%, RPS50/120=82.6/86.9, 20日涨跌=36.3%, 低位距=95.4%, SOS量比=3.95",事件驱动：不建议硬放宽
600790,轻纺城,商品城,10.00%,L4未命中,未触发L4：SOS前日涨幅2.19%/量比4.49；LPS低点距MA20=2.45%/缩量比=1.96；Spring跌破支撑=False/收回=True,"MA20=3.80, support60=3.49",L4：爆发前夜影子触发
600821,金开新能,新型电力,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=8.78/6.38, bias200=22.3%, RPS50/120=94.1/87.4, 20日涨跌=-13.7%, 低位距=52.9%, SOS量比=0.89",事件驱动：不建议硬放宽
600988,赤峰黄金,黄金,8.18%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=41.16/32.47, bias200=17.0%, RPS50/120=71.9/82.5, 20日涨跌=-16.2%, 低位距=66.3%, SOS量比=0.56",趋势轨：RPS阈值敏感
601016,节能风电,新型电力,10.09%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=4.06/3.33, bias200=28.1%, RPS50/120=94.7/86.8, 20日涨跌=0.0%, 低位距=50.0%, SOS量比=1.20",事件驱动：不建议硬放宽
601778,晶科科技,新型电力,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=5.51/4.20, bias200=54.8%, RPS50/120=96.3/95.2, 20日涨跌=30.5%, 低位距=151.0%, SOS量比=1.50",事件驱动：不建议硬放宽
601991,大唐发电,火力发电,10.10%,L3淘汰,"行业共振未通过：所属行业=火力发电；Top行业=机床制造, 塑料, 软饮料, 其他商业, 半导体",L2通道=主升通道,L3：小题材/强个股绕行
603001,奥康国际,服饰,9.96%,L1淘汰,市值不足：33.00亿 < 35.00亿,20日均额=7429.3万,L1流动性/市值
603045,福达合金,小金属,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=32.56/23.57, bias200=98.1%, RPS50/120=98.3/96.9, 20日涨跌=58.1%, 低位距=224.6%, SOS量比=0.33",事件驱动：不建议硬放宽
603050,科林电气,电气设备,8.85%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RPS120不足,"MA50/200=21.16/18.68, bias200=16.2%, RPS50/120=76.7/69.4, 20日涨跌=7.7%, 低位距=52.5%, SOS量比=2.10",事件驱动：不建议硬放宽
603063,禾望电气,电气设备,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=33.80/33.01, bias200=32.9%, RPS50/120=96.5/88.9, 20日涨跌=37.6%, 低位距=55.8%, SOS量比=1.36",事件驱动：不建议硬放宽
603115,海星股份,铝,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=39.13/23.99, bias200=137.2%, RPS50/120=99.6/99.2, 20日涨跌=21.4%, 低位距=335.6%, SOS量比=0.44",事件驱动：不建议硬放宽
603156,养元饮品,软饮料,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=31.20/27.38, bias200=37.2%, RPS50/120=90.9/85.1, 20日涨跌=22.8%, 低位距=79.5%, SOS量比=1.54",事件驱动：不建议硬放宽
603158,腾龙股份,汽车配件,10.03%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=11.99/10.74, bias200=18.8%, RPS50/120=87.3/79.3, 20日涨跌=3.9%, 低位距=67.7%, SOS量比=0.78",事件驱动：不建议硬放宽
603162,海通发展,水运,10.02%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足、距MA200过高,"MA50/200=14.15/11.57, bias200=28.5%, RPS50/120=72.0/86.6, 20日涨跌=11.0%, 低位距=90.2%, SOS量比=0.83",趋势轨：RPS阈值敏感
603248,锡华科技,机械基件,10.00%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、短期RPS未降温、长期RPS不足,"MA50/200=26.62/-, bias200=-, RPS50/120=-/-, 20日涨跌=-14.8%, 低位距=16.6%, SOS量比=0.42",事件驱动：不建议硬放宽
603256,宏和科技,玻璃,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=81.24/46.36, bias200=156.9%, RPS50/120=99.2/99.6, 20日涨跌=63.3%, 低位距=1284.9%, SOS量比=1.42",事件驱动：不建议硬放宽
603269,海鸥股份,机械基件,9.99%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=14.65/12.73, bias200=17.2%, RPS50/120=88.6/78.0, 20日涨跌=8.7%, 低位距=73.7%, SOS量比=0.59",事件驱动：不建议硬放宽
603278,大业股份,钢加工,10.00%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：20日回调不足、长期RPS不足,"MA50/200=11.56/11.10, bias200=0.9%, RPS50/120=28.5/68.9, 20日涨跌=1.8%, 低位距=28.6%, SOS量比=1.78",事件驱动：不建议硬放宽
603316,诚邦股份,建筑工程,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=14.98/13.10, bias200=19.0%, RPS50/120=83.3/74.9, 20日涨跌=9.6%, 低位距=201.0%, SOS量比=3.99",事件驱动：不建议硬放宽
603353,和顺石油,石油贸易,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=39.50/27.21, bias200=58.3%, RPS50/120=85.6/96.4, 20日涨跌=29.9%, 低位距=189.6%, SOS量比=1.78",事件驱动：不建议硬放宽
603399,永杉锂业,小金属,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=11.96/10.86, bias200=78.5%, RPS50/120=98.9/94.7, 20日涨跌=73.6%, 低位距=133.1%, SOS量比=0.25",事件驱动：不建议硬放宽
603418,友升股份,汽车配件,10.01%,L1淘汰,成交额不足：4193.8万 < 5000.0万,市值=99.7亿,L1流动性/市值
603459,红板科技,元器件,8.50%,L2淘汰,六通道均未通过；最接近吸筹通道，但仍差：60日振幅未收敛、量能未萎缩、MA50/MA200未胶着,"MA50/200=-/-, bias200=-, RPS50/120=-/-, 20日涨跌=-, 低位距=22.8%, SOS量比=0.44",左侧轨：吸筹阈值敏感
603538,美诺华,化学制药,9.67%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=36.55/26.25, bias200=137.9%, RPS50/120=99.9/98.6, 20日涨跌=57.0%, 低位距=362.0%, SOS量比=1.87",事件驱动：不建议硬放宽
603618,杭电股份,电气设备,10.01%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=22.67/11.79, bias200=139.6%, RPS50/120=99.1/99.7, 20日涨跌=-0.4%, 低位距=397.5%, SOS量比=0.69",事件驱动：不建议硬放宽
603629,利通电子,元器件,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=73.93/38.67, bias200=273.4%, RPS50/120=99.9/100.0, 20日涨跌=119.2%, 低位距=589.3%, SOS量比=1.18",事件驱动：不建议硬放宽
603777,来伊份,食品,9.98%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘,"MA50/200=14.11/13.66, bias200=20.3%, RPS50/120=89.6/82.7, 20日涨跌=23.9%, 低位距=35.4%, SOS量比=1.08",事件驱动：不建议硬放宽
603876,鼎胜新材,铝,9.38%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=22.32/14.85, bias200=100.4%, RPS50/120=97.6/97.9, 20日涨跌=35.8%, 低位距=268.8%, SOS量比=1.60",事件驱动：不建议硬放宽
603936,博敏电子,元器件,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=14.01/12.23, bias200=26.8%, RPS50/120=92.4/83.7, 20日涨跌=16.7%, 低位距=115.9%, SOS量比=0.77",事件驱动：不建议硬放宽
603937,丽岛新材,铝,10.03%,L1淘汰,市值不足：31.86亿 < 35.00亿,20日均额=16272.1万,L1流动性/市值
603978,深圳新星,小金属,9.99%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RPS120不足,"MA50/200=24.97/24.10, bias200=11.8%, RPS50/120=81.6/53.0, 20日涨跌=7.9%, 低位距=114.1%, SOS量比=2.08",事件驱动：不建议硬放宽
603985,恒润股份,电气设备,9.99%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、距MA200过高,"MA50/200=20.29/17.18, bias200=52.0%, RPS50/120=97.1/92.3, 20日涨跌=27.7%, 低位距=89.0%, SOS量比=1.46",事件驱动：不建议硬放宽
603986,兆易创新,半导体,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=284.14/218.66, bias200=43.1%, RPS50/120=79.6/88.2, 20日涨跌=22.7%, 低位距=181.6%, SOS量比=1.80",事件驱动：不建议硬放宽
605060,联德股份,机械基件,9.99%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足、距MA200过高,"MA50/200=58.09/38.16, bias200=53.4%, RPS50/120=68.6/95.3, 20日涨跌=12.1%, 低位距=251.2%, SOS量比=1.01",趋势轨：RPS阈值敏感
605303,园林股份,建筑工程,9.98%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS120不足、距MA200过高,"MA50/200=19.14/17.99, bias200=28.6%, RPS50/120=91.4/69.7, 20日涨跌=38.7%, 低位距=175.8%, SOS量比=1.00",事件驱动：不建议硬放宽
